Category: All categories

Month,Netflix: (Afghanistan),Netflix: (Albania),Netflix: (Algeria),Netflix: (American Samoa),Netflix: (Andorra),Netflix: (Angola),Netflix: (Anguilla),Netflix: (Antarctica),Netflix: (Antigua & Barbuda),Netflix: (Argentina),Netflix: (Armenia),Netflix: (Aruba),Netflix: (Australia),Netflix: (Austria),Netflix: (Azerbaijan),Netflix: (Bahamas),Netflix: (Bahrain),Netflix: (Bangladesh),Netflix: (Barbados),Netflix: (Belarus),Netflix: (Belgium),Netflix: (Belize),Netflix: (Benin),Netflix: (Bermuda),Netflix: (Bhutan),Netflix: (Bolivia),Netflix: (Bosnia & Herzegovina),Netflix: (Botswana),Netflix: (Bouvet Island),Netflix: (Brazil),Netflix: (British Indian Ocean Territory),Netflix: (Brunei),Netflix: (Bulgaria),Netflix: (Burkina Faso),Netflix: (Burundi),Netflix: (Cambodia),Netflix: (Cameroon),Netflix: (Canada),Netflix: (Cape Verde),Netflix: (Caribbean Netherlands),Netflix: (Cayman Islands),Netflix: (Central African Republic),Netflix: (Chile),Netflix: (Christmas Island),Netflix: (Cocos (Keeling) Islands),Netflix: (Colombia),Netflix: (Comoros),Netflix: (Congo - Brazzaville),Netflix: (Congo - Kinshasa),Netflix: (Cook Islands),Netflix: (Costa Rica),Netflix: (Croatia),Netflix: (Cuba),Netflix: (Curaçao),Netflix: (Cyprus),Netflix: (Czechia),Netflix: (Côte d’Ivoire),Netflix: (Denmark),Netflix: (Djibouti),Netflix: (Dominica),Netflix: (Dominican Republic),Netflix: (Ecuador),Netflix: (Egypt),Netflix: (El Salvador),Netflix: (Equatorial Guinea),Netflix: (Eritrea),Netflix: (Estonia),Netflix: (Eswatini),Netflix: (Ethiopia),Netflix: (Falkland Islands (Islas Malvinas)),Netflix: (Faroe Islands),Netflix: (Fiji),Netflix: (Finland),Netflix: (France),Netflix: (French Guiana),Netflix: (French Polynesia),Netflix: (Gabon),Netflix: (Gambia),Netflix: (Georgia),Netflix: (Germany),Netflix: (Ghana),Netflix: (Gibraltar),Netflix: (Greece),Netflix: (Greenland),Netflix: (Grenada),Netflix: (Guadeloupe),Netflix: (Guam),Netflix: (Guatemala),Netflix: (Guernsey),Netflix: (Guinea),Netflix: (Guinea-Bissau),Netflix: (Guyana),Netflix: (Haiti),Netflix: (Heard & McDonald Islands),Netflix: (Honduras),Netflix: (Hong Kong),Netflix: (Hungary),Netflix: (Iceland),Netflix: (India),Netflix: (Indonesia),Netflix: (Iran),Netflix: (Iraq),Netflix: (Ireland),Netflix: (Isle of Man),Netflix: (Israel),Netflix: (Italy),Netflix: (Jamaica),Netflix: (Japan),Netflix: (Jersey),Netflix: (Jordan),Netflix: (Kazakhstan),Netflix: (Kenya),Netflix: (Kiribati),Netflix: (Kuwait),Netflix: (Kyrgyzstan),Netflix: (Laos),Netflix: (Latvia),Netflix: (Lebanon),Netflix: (Lesotho),Netflix: (Liberia),Netflix: (Libya),Netflix: (Liechtenstein),Netflix: (Lithuania),Netflix: (Luxembourg),Netflix: (Macao),Netflix: (Madagascar),Netflix: (Malawi),Netflix: (Malaysia),Netflix: (Maldives),Netflix: (Mali),Netflix: (Malta),Netflix: (Marshall Islands),Netflix: (Martinique),Netflix: (Mauritania),Netflix: (Mauritius),Netflix: (Mexico),Netflix: (Micronesia),Netflix: (Moldova),Netflix: (Monaco),Netflix: (Mongolia),Netflix: (Montenegro),Netflix: (Montserrat),Netflix: (Morocco),Netflix: (Mozambique),Netflix: (Myanmar (Burma)),Netflix: (Namibia),Netflix: (Nauru),Netflix: (Nepal),Netflix: (Netherlands),Netflix: (New Caledonia),Netflix: (New Zealand),Netflix: (Nicaragua),Netflix: (Niger),Netflix: (Nigeria),Netflix: (Niue),Netflix: (Norfolk Island),Netflix: (North Macedonia),Netflix: (Northern Mariana Islands),Netflix: (Norway),Netflix: (Oman),Netflix: (Pakistan),Netflix: (Palau),Netflix: (Palestine),Netflix: (Panama),Netflix: (Papua New Guinea),Netflix: (Paraguay),Netflix: (Peru),Netflix: (Philippines),Netflix: (Pitcairn Islands),Netflix: (Poland),Netflix: (Portugal),Netflix: (Puerto Rico),Netflix: (Qatar),Netflix: (Romania),Netflix: (Rwanda),Netflix: (Réunion),Netflix: (San Marino),Netflix: (Saudi Arabia),Netflix: (Senegal),Netflix: (Serbia),Netflix: (Seychelles),Netflix: (Sierra Leone),Netflix: (Singapore),Netflix: (Sint Maarten),Netflix: (Slovakia),Netflix: (Slovenia),Netflix: (Solomon Islands),Netflix: (Somalia),Netflix: (South Georgia & South Sandwich Islands),Netflix: (South Korea),Netflix: (South Sudan),Netflix: (Spain),Netflix: (Sri Lanka),Netflix: (St. Barthélemy),Netflix: (St. Helena),Netflix: (St. Kitts & Nevis),Netflix: (St. Lucia),Netflix: (St. Martin),Netflix: (St. Pierre & Miquelon),Netflix: (Sudan),Netflix: (Suriname),Netflix: (Svalbard & Jan Mayen),Netflix: (Sweden),Netflix: (Switzerland),Netflix: (São Tomé & Príncipe),Netflix: (United Arab Emirates),Netflix: (United Kingdom),Netflix: (Western Sahara),Netflix: (Åland Islands)
2016-03-01,3,2,1,33,9,2,32,0,13,16,0,19,16,7,0,16,3,1,13,0,8,10,0,28,0,2,1,2,0,20,0,2,1,0,0,2,1,24,0,16,32,0,16,0,0,7,0,0,0,0,16,2,0,13,3,1,1,22,2,22,11,11,1,11,0,0,3,0,0,0,30,3,18,5,4,6,0,0,1,6,1,14,1,12,19,3,19,6,12,0,0,12,3,0,7,4,1,20,1,0,0,0,22,12,2,4,11,1,14,1,0,3,0,3,0,1,2,2,0,0,0,4,1,9,2,1,1,1,3,1,7,25,3,0,2,22,33,0,6,1,1,68,1,0,1,3,0,1,14,5,16,6,0,1,0,0,2,19,20,1,1,0,0,8,1,7,8,2,0,1,4,16,3,1,1,4,0,2,1,1,0,0,5,22,1,2,0,0,0,2,0,4,1,0,6,29,9,12,0,0,3,0,14,6,0,4,13,0,21
2016-04-01,2,1,1,21,5,1,23,0,12,15,0,13,16,5,0,12,3,1,12,0,7,8,1,24,0,2,1,2,0,20,0,2,1,0,0,1,1,21,0,19,24,0,15,0,0,7,0,0,0,0,13,1,0,14,2,1,0,19,0,16,11,10,1,9,0,0,3,4,0,0,25,4,17,5,4,6,1,3,1,5,1,11,1,17,16,3,18,5,13,0,0,11,3,0,5,3,1,14,1,0,0,0,17,12,2,4,9,1,11,1,0,2,0,3,0,0,1,1,0,0,0,6,1,8,2,1,1,1,3,0,5,0,3,0,2,18,34,0,7,1,1,0,1,1,1,2,0,1,14,5,17,6,0,1,0,0,1,27,17,1,1,0,0,7,0,6,7,2,0,1,4,14,3,1,1,3,0,2,1,1,0,0,5,16,1,2,0,1,0,2,0,4,1,0,5,27,11,9,0,0,3,0,12,4,0,4,12,0,16
2016-05-01,2,1,1,21,4,1,12,0,12,17,0,17,14,5,0,12,2,0,12,0,7,10,0,24,0,3,1,2,0,23,0,2,1,0,0,1,1,21,0,17,31,0,16,0,0,7,0,0,0,0,14,1,0,13,2,1,1,18,3,13,11,9,1,9,0,0,2,0,0,0,24,3,14,6,4,5,0,0,0,5,1,5,1,15,19,3,19,5,13,0,0,12,3,0,6,2,1,12,0,0,0,0,16,11,1,3,10,1,10,1,0,2,0,2,0,0,1,1,0,0,0,4,1,7,1,1,1,1,3,0,5,0,3,1,2,17,37,0,6,1,1,0,1,1,1,3,0,1,12,5,14,7,0,1,0,0,1,23,16,1,1,0,0,8,1,6,7,2,0,1,4,16,3,1,1,3,0,1,1,1,0,0,4,18,1,2,0,1,0,1,0,3,1,0,4,23,12,10,0,0,3,0,11,4,0,3,10,0,17
2016-06-01,3,1,1,27,4,1,23,0,10,18,0,17,14,5,0,13,3,1,11,0,7,11,0,20,0,3,1,2,0,22,0,2,1,0,0,1,1,19,0,20,23,0,18,0,0,9,0,0,0,0,15,1,0,10,2,1,1,17,0,13,11,9,0,11,0,0,2,0,0,0,19,3,17,5,4,5,1,0,1,4,1,7,1,13,13,2,22,6,11,1,0,11,3,0,7,2,1,13,0,0,0,0,18,11,1,3,11,1,11,1,0,2,0,2,0,0,1,2,0,0,0,4,1,7,2,1,0,1,4,0,5,0,3,0,2,20,27,0,4,1,1,0,1,1,1,3,0,1,13,5,16,6,0,1,0,0,2,24,17,1,1,0,0,8,0,7,8,2,0,0,4,16,2,1,1,4,0,2,1,1,0,0,4,13,1,2,0,0,0,1,0,3,0,0,4,26,8,11,0,0,2,0,13,3,0,3,11,0,10
2016-07-01,3,1,1,28,4,2,25,0,10,23,0,18,15,5,0,16,3,1,13,0,8,12,0,24,0,4,1,2,0,29,0,2,1,0,0,1,0,22,2,14,23,0,26,0,0,10,0,1,0,0,18,2,0,15,3,1,1,19,3,14,13,12,1,12,0,0,3,0,0,0,26,3,18,6,6,5,0,0,1,5,1,8,1,22,16,3,20,7,10,0,0,12,3,0,8,3,1,14,1,0,0,0,17,13,2,4,12,1,10,1,0,2,0,3,0,0,2,2,0,2,0,0,1,7,1,1,0,1,3,0,5,30,4,0,3,25,38,0,6,1,1,0,1,1,1,2,0,1,14,5,18,7,0,1,0,0,2,29,20,1,1,0,1,9,0,8,11,2,0,1,4,18,3,1,1,4,0,2,2,1,0,0,4,17,1,2,0,2,0,1,0,4,1,0,4,26,13,13,0,0,3,0,14,4,0,3,11,0,14
2016-08-01,2,2,1,21,7,1,15,0,12,19,0,16,14,5,0,13,4,0,12,0,9,11,0,23,0,3,1,2,0,22,0,2,1,0,0,1,1,21,3,25,18,0,18,0,0,8,0,2,0,0,15,2,0,24,4,1,1,19,5,16,12,11,1,12,0,0,3,0,0,0,21,2,17,6,4,5,0,0,1,5,1,9,2,12,23,3,18,7,10,0,0,12,3,0,7,2,1,15,1,0,0,0,18,10,2,4,11,1,11,1,0,2,0,3,0,0,2,2,0,0,0,4,1,8,1,1,1,1,4,0,6,33,3,0,2,20,21,0,0,1,1,0,1,0,1,2,0,1,14,6,15,7,0,1,0,0,2,23,20,1,1,0,1,7,0,7,10,2,0,1,4,14,3,1,1,4,0,2,2,1,0,0,4,31,1,2,0,1,0,1,0,5,1,0,4,29,10,17,0,0,4,0,14,4,0,3,11,0,14
2016-09-01,3,1,1,22,5,1,25,0,10,20,0,15,15,5,0,12,4,1,11,0,8,11,0,24,0,3,1,2,0,24,0,3,1,0,0,1,1,21,3,18,29,0,18,0,0,9,0,0,0,0,16,2,0,15,3,1,1,18,5,19,10,11,0,12,0,0,2,0,0,0,24,3,16,7,6,6,0,0,1,6,1,12,1,14,16,5,16,8,14,0,0,10,3,0,8,2,1,14,1,0,0,0,20,11,2,5,9,1,12,1,0,2,0,3,0,1,1,2,0,0,0,6,1,8,1,0,1,1,5,0,7,32,5,0,2,20,26,0,8,1,1,0,1,1,1,3,0,1,15,6,17,7,0,1,0,0,2,23,19,2,1,0,0,9,2,8,10,2,0,2,6,14,3,1,1,4,0,2,2,1,0,0,4,21,1,2,0,2,0,1,0,7,1,0,4,26,11,13,0,0,3,0,15,5,0,4,12,0,12
2016-10-01,3,1,1,23,7,1,0,0,12,21,0,17,16,7,1,15,4,0,14,0,9,12,0,23,0,4,1,3,0,27,0,2,1,0,0,1,1,24,2,28,36,0,21,0,0,11,0,0,0,0,17,2,0,14,3,1,1,22,0,17,12,12,1,12,0,0,3,2,0,0,24,3,19,7,7,5,0,0,1,7,1,9,1,19,17,4,18,10,15,0,0,10,4,0,9,3,1,14,1,0,0,0,21,17,2,6,10,1,14,1,0,2,0,3,0,0,2,2,0,0,0,7,1,10,2,1,0,1,6,0,7,0,3,0,2,21,31,0,6,1,1,0,1,1,1,3,0,1,17,7,18,8,0,1,0,0,2,28,19,1,1,52,2,9,1,8,12,2,0,2,5,15,3,1,1,5,0,2,2,1,0,0,5,18,1,2,0,0,0,2,0,7,1,0,4,28,9,10,0,0,3,0,16,7,0,4,13,0,20
2016-11-01,3,1,1,12,12,2,25,0,10,18,0,14,15,8,0,11,3,0,12,0,10,9,0,21,0,4,1,2,0,26,0,3,1,0,0,1,1,21,0,19,21,0,18,0,0,12,0,0,0,0,16,2,0,13,3,1,1,19,0,13,12,11,0,12,0,0,2,0,1,0,17,2,17,7,5,6,0,0,1,8,1,8,1,17,13,4,17,9,12,0,0,9,3,0,9,3,1,14,1,0,0,0,17,11,2,7,9,1,13,1,0,2,0,2,0,0,2,1,0,0,0,4,1,9,2,1,0,1,5,0,6,0,4,0,2,19,0,0,5,1,1,0,1,1,1,2,0,1,15,5,15,8,0,1,0,0,2,21,18,1,1,0,0,10,2,7,10,2,0,2,4,14,2,1,0,4,7,2,1,1,0,0,5,15,1,2,0,1,0,1,0,6,0,0,3,17,14,11,0,0,3,0,15,6,0,4,12,0,0
2016-12-01,3,2,1,29,12,2,19,0,8,20,0,16,18,10,0,14,3,0,15,0,12,13,0,23,0,4,1,3,0,29,0,3,1,1,0,1,1,25,2,18,31,0,22,0,0,14,0,4,0,0,18,2,2,14,3,2,1,20,10,15,13,13,1,15,0,0,3,0,0,0,23,4,20,8,7,8,0,0,1,8,1,15,1,15,19,5,18,12,11,0,0,10,3,0,12,4,1,16,1,0,0,0,23,16,2,8,12,1,14,1,0,2,0,3,0,1,2,2,0,0,0,6,1,11,2,1,0,1,7,1,7,0,4,0,3,27,44,0,7,1,1,0,2,1,1,3,0,1,19,8,19,11,0,1,0,0,2,19,22,2,1,0,1,11,2,9,13,3,0,3,6,17,3,2,1,5,9,2,1,1,8,0,5,18,1,2,0,0,0,2,0,9,1,0,3,30,14,9,0,0,4,83,16,9,0,4,13,0,14
