Country Name,Series Code,LatestValue
Afghanistan,NY.GDP.MKTP.CD,
Afghanistan,SP.POP.TOTL,42647492
Aruba,NY.GDP.MKTP.CD,4265650673.00236
Aruba,SP.POP.TOTL,107995
Argentina,NY.GDP.MKTP.CD,638365455340.04
Argentina,SP.POP.TOTL,45696159
Albania,NY.GDP.MKTP.CD,27046429296.6673
Albania,SP.POP.TOTL,2377128
Algeria,NY.GDP.MKTP.CD,269322281664.773
Algeria,SP.POP.TOTL,46814308
American Samoa,NY.GDP.MKTP.CD,
American Samoa,SP.POP.TOTL,46765
Andorra,NY.GDP.MKTP.CD,4039842405.48117
Andorra,SP.POP.TOTL,81938
Angola,NY.GDP.MKTP.CD,100998916781.079
Angola,SP.POP.TOTL,37885849
Antigua and Barbuda,NY.GDP.MKTP.CD,2207622874.07407
Antigua and Barbuda,SP.POP.TOTL,93772
Armenia,NY.GDP.MKTP.CD,25955275380.0321
Armenia,SP.POP.TOTL,3033500
Australia,NY.GDP.MKTP.CD,1757022451652.83
Australia,SP.POP.TOTL,27196812
Austria,NY.GDP.MKTP.CD,534790720466.822
Austria,SP.POP.TOTL,9177982
Azerbaijan,NY.GDP.MKTP.CD,74315882352.9412
Azerbaijan,SP.POP.TOTL,10202830
"Bahamas, The",NY.GDP.MKTP.CD,15832800000
"Bahamas, The",SP.POP.TOTL,401283
Bahrain,NY.GDP.MKTP.CD,47109734308.5106
Bahrain,SP.POP.TOTL,1588670
Bangladesh,NY.GDP.MKTP.CD,450119432068.852
Bangladesh,SP.POP.TOTL,173562364
Barbados,NY.GDP.MKTP.CD,7498050000
Barbados,SP.POP.TOTL,282467
Belarus,NY.GDP.MKTP.CD,75961865471.9129
Belarus,SP.POP.TOTL,9132629
Belgium,NY.GDP.MKTP.CD,671370081636.406
Belgium,SP.POP.TOTL,11858610
Belize,NY.GDP.MKTP.CD,3203631800
Belize,SP.POP.TOTL,417072
Benin,NY.GDP.MKTP.CD,21482643706.4249
Benin,SP.POP.TOTL,14462724
Bermuda,NY.GDP.MKTP.CD,9233600000
Bermuda,SP.POP.TOTL,64636
Bhutan,NY.GDP.MKTP.CD,
Bhutan,SP.POP.TOTL,791524
Bolivia,NY.GDP.MKTP.CD,54881327452.9667
Bolivia,SP.POP.TOTL,12413315
Bosnia and Herzegovina,NY.GDP.MKTP.CD,29613572022.8993
Bosnia and Herzegovina,SP.POP.TOTL,3164253
Botswana,NY.GDP.MKTP.CD,19402063512.9066
Botswana,SP.POP.TOTL,2521139
Brazil,NY.GDP.MKTP.CD,2185821648943.86
Brazil,SP.POP.TOTL,211998573
British Virgin Islands,NY.GDP.MKTP.CD,
British Virgin Islands,SP.POP.TOTL,39471
Brunei Darussalam,NY.GDP.MKTP.CD,15340808592.48
Brunei Darussalam,SP.POP.TOTL,462721
Bulgaria,NY.GDP.MKTP.CD,113343355779.985
Bulgaria,SP.POP.TOTL,6441421
Burkina Faso,NY.GDP.MKTP.CD,23124729853.0218
Burkina Faso,SP.POP.TOTL,23548781
Burundi,NY.GDP.MKTP.CD,3082433067.32634
Burundi,SP.POP.TOTL,14047786
Cabo Verde,NY.GDP.MKTP.CD,2725414150.72735
Cabo Verde,SP.POP.TOTL,524877
Cambodia,NY.GDP.MKTP.CD,46352647037.2406
Cambodia,SP.POP.TOTL,17638801
Cameroon,NY.GDP.MKTP.CD,53296694320.2057
Cameroon,SP.POP.TOTL,29123744
Canada,NY.GDP.MKTP.CD,2243636826633.76
Canada,SP.POP.TOTL,41288599
Cayman Islands,NY.GDP.MKTP.CD,
Cayman Islands,SP.POP.TOTL,74457
Central African Republic,NY.GDP.MKTP.CD,2751494281.06887
Central African Republic,SP.POP.TOTL,5330690
Chad,NY.GDP.MKTP.CD,19518819751.283
Chad,SP.POP.TOTL,20299123
Channel Islands,NY.GDP.MKTP.CD,
Channel Islands,SP.POP.TOTL,168126
Chile,NY.GDP.MKTP.CD,330267137371.592
Chile,SP.POP.TOTL,19764771
China,NY.GDP.MKTP.CD,18743803170827.2
China,SP.POP.TOTL,1408975000
Colombia,NY.GDP.MKTP.CD,418818154879.271
Colombia,SP.POP.TOTL,52886363
Comoros,NY.GDP.MKTP.CD,1440991455.45188
Comoros,SP.POP.TOTL,866628
"Congo, Dem. Rep.",NY.GDP.MKTP.CD,70962185790.7094
"Congo, Dem. Rep.",SP.POP.TOTL,109276265
"Congo, Rep.",NY.GDP.MKTP.CD,15719986076.6464
"Congo, Rep.",SP.POP.TOTL,6332961
Costa Rica,NY.GDP.MKTP.CD,95350423176.5962
Costa Rica,SP.POP.TOTL,5129910
Cote d'Ivoire,NY.GDP.MKTP.CD,87113179149.284
Cote d'Ivoire,SP.POP.TOTL,31934230
Croatia,NY.GDP.MKTP.CD,92983810328.9088
Croatia,SP.POP.TOTL,3866200
Cuba,NY.GDP.MKTP.CD,
Cuba,SP.POP.TOTL,10979783
Curacao,NY.GDP.MKTP.CD,3561178196.20713
Curacao,SP.POP.TOTL,155967
Cyprus,NY.GDP.MKTP.CD,37634533331.8902
Cyprus,SP.POP.TOTL,1358282
Czechia,NY.GDP.MKTP.CD,347034062928.479
Czechia,SP.POP.TOTL,10905028
Denmark,NY.GDP.MKTP.CD,424524722037.047
Denmark,SP.POP.TOTL,5976992
Djibouti,NY.GDP.MKTP.CD,4152145939.98458
Djibouti,SP.POP.TOTL,1168722
Dominica,NY.GDP.MKTP.CD,688881481.481481
Dominica,SP.POP.TOTL,66205
Dominican Republic,NY.GDP.MKTP.CD,124282245638.568
Dominican Republic,SP.POP.TOTL,11427557
Ecuador,NY.GDP.MKTP.CD,124676074700
Ecuador,SP.POP.TOTL,18135478
"Egypt, Arab Rep.",NY.GDP.MKTP.CD,389059911003.566
"Egypt, Arab Rep.",SP.POP.TOTL,116538258
El Salvador,NY.GDP.MKTP.CD,35364960000
El Salvador,SP.POP.TOTL,6338193
Equatorial Guinea,NY.GDP.MKTP.CD,12765777677.0622
Equatorial Guinea,SP.POP.TOTL,1892516
Eritrea,NY.GDP.MKTP.CD,
Eritrea,SP.POP.TOTL,3535603
Estonia,NY.GDP.MKTP.CD,43130419829.35
Estonia,SP.POP.TOTL,1372341
Eswatini,NY.GDP.MKTP.CD,4858885840.77236
Eswatini,SP.POP.TOTL,1242822
Ethiopia,NY.GDP.MKTP.CD,149740297952.986
Ethiopia,SP.POP.TOTL,132059767
Faroe Islands,NY.GDP.MKTP.CD,4052937169.76536
Faroe Islands,SP.POP.TOTL,54681
Fiji,NY.GDP.MKTP.CD,5968125909.27126
Fiji,SP.POP.TOTL,928784
Finland,NY.GDP.MKTP.CD,298696961297.656
Finland,SP.POP.TOTL,5619911
France,NY.GDP.MKTP.CD,3160442622465.08
France,SP.POP.TOTL,68551653
French Polynesia,NY.GDP.MKTP.CD,6323716355.05009
French Polynesia,SP.POP.TOTL,281807
Gabon,NY.GDP.MKTP.CD,20895684425.6752
Gabon,SP.POP.TOTL,2538952
"Gambia, The",NY.GDP.MKTP.CD,2404888749.21907
"Gambia, The",SP.POP.TOTL,2759988
Georgia,NY.GDP.MKTP.CD,34189423544.9955
Georgia,SP.POP.TOTL,3699557
Germany,NY.GDP.MKTP.CD,4685592577804.69
Germany,SP.POP.TOTL,83516593
Ghana,NY.GDP.MKTP.CD,82308110386.4641
Ghana,SP.POP.TOTL,34427414
Gibraltar,NY.GDP.MKTP.CD,
Gibraltar,SP.POP.TOTL,39329
Greece,NY.GDP.MKTP.CD,256238371778.118
Greece,SP.POP.TOTL,10405134
Greenland,NY.GDP.MKTP.CD,
Greenland,SP.POP.TOTL,56836
Grenada,NY.GDP.MKTP.CD,1371918518.51852
Grenada,SP.POP.TOTL,117207
Guam,NY.GDP.MKTP.CD,
Guam,SP.POP.TOTL,167777
Guatemala,NY.GDP.MKTP.CD,113199581158.203
Guatemala,SP.POP.TOTL,18406359
Guinea,NY.GDP.MKTP.CD,25008678293.4084
Guinea,SP.POP.TOTL,14754785
Guinea-Bissau,NY.GDP.MKTP.CD,2218393804.54798
Guinea-Bissau,SP.POP.TOTL,2201352
Guyana,NY.GDP.MKTP.CD,24662709832.1343
Guyana,SP.POP.TOTL,831087
Haiti,NY.GDP.MKTP.CD,25224154990.7946
Haiti,SP.POP.TOTL,11772557
Honduras,NY.GDP.MKTP.CD,37093565854.0437
Honduras,SP.POP.TOTL,10825703
"Hong Kong SAR, China",NY.GDP.MKTP.CD,406863396487.342
"Hong Kong SAR, China",SP.POP.TOTL,7524100
Hungary,NY.GDP.MKTP.CD,222722738925.641
Hungary,SP.POP.TOTL,9562065
Iceland,NY.GDP.MKTP.CD,33255181468.9382
Iceland,SP.POP.TOTL,386506
India,NY.GDP.MKTP.CD,3909891533858.08
India,SP.POP.TOTL,1450935791
Indonesia,NY.GDP.MKTP.CD,1396300098190.97
Indonesia,SP.POP.TOTL,283487931
"Iran, Islamic Rep.",NY.GDP.MKTP.CD,475252089215.416
"Iran, Islamic Rep.",SP.POP.TOTL,91567738
Iraq,NY.GDP.MKTP.CD,279641257615.385
Iraq,SP.POP.TOTL,46042015
Ireland,NY.GDP.MKTP.CD,609157459747.205
Ireland,SP.POP.TOTL,5395790
Isle of Man,NY.GDP.MKTP.CD,
Isle of Man,SP.POP.TOTL,84160
Israel,NY.GDP.MKTP.CD,540379921261.681
Israel,SP.POP.TOTL,9974400
Italy,NY.GDP.MKTP.CD,2380825077243.59
Italy,SP.POP.TOTL,58952704
Jamaica,NY.GDP.MKTP.CD,22014397089.7689
Jamaica,SP.POP.TOTL,2839175
Japan,NY.GDP.MKTP.CD,4027597523550.58
Japan,SP.POP.TOTL,123975371
Jordan,NY.GDP.MKTP.CD,53352289577.4648
